q_num,q_type,prompt,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_a
43,LR,"Recent medical and anthropological data show that prohibitions on the use of certain foods served important social, economic, and medical functions in ancient cultures. But these data cannot explain the origin of the prohibitions involved, since those who originally adopted and enforced them did not have access to the same data as modern researchers.",Which one of the following is an assumption required by the argument?,The origin of a food prohibition must be explained with reference to the understanding that the people who adopted and enforced the prohibition had.,"The social, economic, and medical problems of a society may lead to the adoption of contradictory food prohibitions.",The social importance of the origin of a food prohibition is independent of the nutritional value of the food prohibited.,The original purpose of a food prohibition is often forgotten a few generations after the prohibition is introduced.,The people who originally adopted and enforced food prohibitions in ancient cultures generally had a nontechnical understanding of the medical functions of those prohibitions.,choice_a
44,LR,"Editor: Most of the books of fiction we have published were submitted by literary agents for writers they represented; the rest were received directly from fiction writers from whom we requested submissions. No nonfiction manuscript has been given serious attention, let alone been published, unless it was from a renowned figure or we had requested the manuscript after careful review of the writer’s book proposal. ",Which one of the following can be properly inferred from the editor’s statements?,Most unrequested manuscripts that the publishing house receives are not given serious attention.,Most of the books that the publishing house publishes that are not by renowned authors are books of fiction.,"If a manuscript has received careful attention at the publishing house, then it is either a work of fiction or the work of a renowned figure.",The publishing house is less likely to give careful consideration to a manuscript that was submitted directly by a writer than one that was submitted by a writer’s literary agent.,Any unrequested manuscripts not submitted by literary agents that the publishing house has published were written by renowned figures.,choice_e
45,LR,"If the budget does not allow for more dairy inspectors to be hired, most of the large dairies in the central valley will not meet federal standards governing the disposal of natural wastes, which can seep into streams and groundwater. The new district budget, however, does not allow for the hiring of more dairy inspectors. Consequently, most of the district’s drinking water is likely to become polluted. ",The conclusion above follows logically if which one of the following is assumed?,"If most of the dairies in the central valley meet federal standards for the disposal of natural wastes, it is unlikely that most of the district’s drinking water will become polluted.",To keep all the drinking water in the district clean requires more dairy inspectors to monitor the dairies’ disposal of natural wastes.,All of the district’s drinking water is likely to become polluted only if all of the large dairies in the central valley do not meet federal standards for the disposal of natural wastes.,Most of the district’s drinking water is likely to become polluted if most of the large dairies in the central valley do not meet federal standards for the disposal of natural wastes.,"If none of the large dairies in the central valley meets federal standards for the disposal of natural wastes, most of the district’s drinking water is likely to become polluted.",choice_d
46,LR,Company president: Almost every really successful product introduced in the last ten years has been launched by a massive television advertising campaign. We are using a massive television advertising campaign to introduce the Vegetaste Burger. So the Vegetaste Burger will probably be very successful.,"The flawed nature of the company president’s argument can most effectively be demonstrated by noting that, by parallel reasoning, we could conclude that","the president of Corbin Corporation has an office that is not in Corbin’s headquarters building, since almost all of the offices in Corbin’s headquarters building are small, whereas Corbin’s president has a large office","Donna has at least ten years of experience as a computer programmer, since almost every programmer who works for Coderight Software has at least ten years experience, and Donna will probably be hired as a programmer by Coderight","almost all of Acme’s employees oppose the pending merger with Barrington Corporation, since almost all of Acme’s employees are factory workers, and almost all of the factory workers at Acme oppose the merger","Robinson will probably be appointed as president of Sifton University, since almost every one of Sifton’s previous presidents had a Ph.D., and Robinson has a Ph.D.","the novel Safekeeping will probably earn a profit for its publisher, Peninsula Press, since almost every novel published by Peninsula over the last ten years has been profitable.",choice_d
47,LR,"Biologist: Scientists have discovered fossilized bacteria in rocks 3.5 billion years old. The fossils indicate that these bacteria were quite complex and so must have already had a long evolutionary history when fossilized 3.5 billion years ago. However, Earth is only 4.6 billion years old, so the first life on Earth must have appeared soon after the planet’s formation, when conditions were extremely harsh. This suggests that life may be able to arise under many difficult conditions throughout the universe.",Which one of the following most accurately describes the role played in the biologist’s argument by the claim that the fossilized bacteria discovered in rocks 3.5 billion years old must have had a long evolutionary history?,"It is a claim for which no support is provided in the argument, and that is used to illustrate the conclusion of the argument as a whole.","It is a claim for which no support is provided in the argument, and that is used to support a claim that in turn lends support to the conclusion of the argument as a whole.","It is a claim for which some support is provided in the argument, and that itself is used to support another claim that in turn lends support to the conclusion of the argument as a whole.","It is a claim for which some support is provided in the argument, and that itself is not used to support any other claim in the argument.","It is a claim for which some support is provided in the argument, and that itself is used to support two distinct conclusions, neither of which is intended to provide support for the other.",choice_c
48,LR,"At one time, many astronomers assumed that Earth remains motionless while the stars revolve around it. They concluded from this that the stars were not more than a few million miles from Earth. They reasoned that if the stars were farther away, they would have to move at tremendously great speeds in order to circle Earth during the day and reappear in roughly the same positions each night.",Which one of the following is an assumption required by the reasoning described above?,"If the stars do not revolve around Earth, it is possible for at least some stars to be more than a few million miles from Earth.",All stars move at exactly the same speed when they are revolving around Earth.,Earth does not remain motionless while the stars revolve around it.,Stars do not move at tremendously great speeds.,A star that is more than a million miles from Earth could reappear in roughly the same position each night.,choice_d
49,LR,"People may praise the talent of a painter capable of realistically portraying a scene and dismiss as artistically worthless the efforts of abstract expressionists, but obviously an exact replica of the scene depicted is not the only thing people appreciate in a painting, for otherwise photography would have entirely displaced painting as an art form. ",The argument proceeds by ,using a claim about what most people appreciate to support an aesthetic principle,appealing to an aesthetic principle to defend the tastes that people have,explaining a historical fact in terms of the artistic preferences of people,appealing to a historical fact to support a claim about people’s artistic preferences,considering historical context to defend the artistic preferences of people,choice_d
50,LP,"Seven boats—Flyer, Jasmine, Kilborn, Lulu, Maritime, Orbit, and Pinwheel—finish a race one at a time and consecutively. No other boats compete in the race. The following conditions hold: Maritime finishes at some time before Orbit. Jasmine finishes at some time after Kilborn but at some time before Pinwheel. Orbit finishes at some time after Lulu. Pinwheel finishes at some time after Lulu but at some time before Flyer.","Which one of the following could be the order in which the boats finish, listed from first to last?","Maritime, Kilborn, Orbit, Jasmine, Lulu, Pinwheel, Flyer","Kilborn, Jasmine, Lulu, Orbit, Pinwheel, Maritime, Flyer","Lulu, Maritime, Kilborn, Jasmine, Pinwheel, Flyer, Orbit","Maritime, Lulu, Kilborn, Orbit, Pinwheel, Jasmine, Flyer","Kilborn, Maritime, Lulu, Jasmine, Flyer, Orbit, Pinwheel",choice_c
51,LP,"Seven boats—Flyer, Jasmine, Kilborn, Lulu, Maritime, Orbit, and Pinwheel—finish a race one at a time and consecutively. No other boats compete in the race. The following conditions hold: Maritime finishes at some time before Orbit. Jasmine finishes at some time after Kilborn but at some time before Pinwheel. Orbit finishes at some time after Lulu. Pinwheel finishes at some time after Lulu but at some time before Flyer.",Each of the following could be true EXCEPT,Orbit finishes at some time before Kilborn.,Lulu finishes at some time after Jasmine.,Flyer finishes at some time before Maritime.,Pinwheel finishes at some time before Orbit.,Kilborn finishes at some time after Flyer.,choice_e
52,LP,"Seven boats—Flyer, Jasmine, Kilborn, Lulu, Maritime, Orbit, and Pinwheel—finish a race one at a time and consecutively. No other boats compete in the race. The following conditions hold: Maritime finishes at some time before Orbit. Jasmine finishes at some time after Kilborn but at some time before Pinwheel. Orbit finishes at some time after Lulu. Pinwheel finishes at some time after Lulu but at some time before Flyer.","If Lulu finishes fourth, which one of the following could be a partial list of boats matched with their respective f inishing positions?",Jasmine: third; Flyer: fifth,Kilborn: third; Flyer: seventh,Maritime: first; Jasmine: fifth,Maritime: second: Pinwheel: third,Kilborn: second; Pinwheel: sixth,choice_e
53,LP,"Seven boats—Flyer, Jasmine, Kilborn, Lulu, Maritime, Orbit, and Pinwheel—finish a race one at a time and consecutively. No other boats compete in the race. The following conditions hold: Maritime finishes at some time before Orbit. Jasmine finishes at some time after Kilborn but at some time before Pinwheel. Orbit finishes at some time after Lulu. Pinwheel finishes at some time after Lulu but at some time before Flyer.","If exactly one boat finishes between Orbit and Flyer, with either Orbit finishing before Flyer or Flyer finishing before Orbit, each of the following could be true EXCEPT",Jasmine finishes second and Lulu finishes fourth.,Kilborn finishes first and Pinwheel finishes sixth.,Maritime finishes first and Orbit finishes seventh.,Maritime finishes first and Jasmine finishes third.,Kilborn finishes second and Orbit finishes fifth.,choice_c
54,LP,"The five children in a certain neighborhood—Rocky, Sally, Tina, Urma, and Vivian—each own one or more of only three types of dogs: King Charles Spaniel, Labrador, and Maltese. No child owns more than one of any particular breed of dog. The following conditions apply: Urma owns more dogs than Tina. Urma and Sally do not own any of the same breed of dogs. Rocky and Tina do not own any of the same breed of dogs. Vivian owns more dogs than any other child.",Which one of the following must be true?,Urma and Vivian have two dog breeds in common.,Sally and Vivian have two dog breeds in common.,Tina and Vivian have two dog breeds in common.,Rocky and Urma have two dog breeds in common.,Sally and Tina have one dog breed in common.,choice_a
55,LP,"The five children in a certain neighborhood—Rocky, Sally, Tina, Urma, and Vivian—each own one or more of only three types of dogs: King Charles Spaniel, Labrador, and Maltese. No child owns more than one of any particular breed of dog. The following conditions apply: Urma owns more dogs than Tina. Urma and Sally do not own any of the same breed of dogs. Rocky and Tina do not own any of the same breed of dogs. Vivian owns more dogs than any other child.",Which one of the following could be a complete and accurate list of children who own a King Charles Spaniel?,Urma,"Vivian, Urma, Sally","Vivian, Urma, Rocky","Vivian, Tina, Rocky","Vivian, Rocky",choice_c
56,LP,"The five children in a certain neighborhood—Rocky, Sally, Tina, Urma, and Vivian—each own one or more of only three types of dogs: King Charles Spaniel, Labrador, and Maltese. No child owns more than one of any particular breed of dog. The following conditions apply: Urma owns more dogs than Tina. Urma and Sally do not own any of the same breed of dogs. Rocky and Tina do not own any of the same breed of dogs. Vivian owns more dogs than any other child.","If Sally and Tina do not own any of the same breed of dog, which one of the following must be true?",No two children own the same number and breed of dogs.,At least three children own a King Charles Spaniel.,Either Rocky or Tina must own a Maltese.,At least three children own a Labrador.,Tina and Urma have exactly one dog breed in common.,choice_e
57,LP,"The five children in a certain neighborhood—Rocky, Sally, Tina, Urma, and Vivian—each own one or more of only three types of dogs: King Charles Spaniel, Labrador, and Maltese. No child owns more than one of any particular breed of dog. The following conditions apply: Urma owns more dogs than Tina. Urma and Sally do not own any of the same breed of dogs. Rocky and Tina do not own any of the same breed of dogs. Vivian owns more dogs than any other child.","If only two of the children own Labradors, which one of the following could be true?",Rocky owns a Labrador.,Sally owns a Labrador.,Vivian does not own a Labrador.,Neither Sally nor Urma owns a Labrador.,Tina owns a Labrador.,choice_b
58,LP,"Seven dancers—Mary, Noel, Ophelia, Peter, Rafael, Sue, and Tori—are preparing to perform a new dance in which the dancers form a straight line facing towards the first and tallest dancer. Each dancer, other than the first, must stand immediately behind a dancer taller than him or herself. No two dancers are of the same height. Every dancer must perform in the dance and no other dancers will participate. The heights of the dancers and their positions conform to the following restrictions: 3. Which one of the following must be false? (A) (B) (C) (D) (E) Peter dances second and Noel dances sixth. Tori dances fourth and Ophelia dances sixth. Mary dances first and Peter dances seventh. Ophelia dances third and Sue dances fourth. Rafael dances sixth and Noel dances seventh. 4. If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance? Mary is taller than both Peter and Rafael. Noel is shorter than both Ophelia and Sue. Rafael is taller than Noel but shorter than Tori. If Mary dances next to Tori, then Ophelia dances immediately in front of Sue. If Tori does not dance next to Mary, Ophelia dances immediately in front of Noel.","Which one of the following is a possible line-up of dancers, listed from first to last?","Mary, Peter, Tori, Rafael, Sue, Noel, Ophelia","Tori, Sue, Mary, Rafael, Ophelia, Noel, Peter","Ophelia, Tori, Mary, Rafael, Sue, Peter, Noel","Sue, Tori, Ophelia, Mary, Peter, Rafael, Noel","Noel, Sue, Ophelia, Rafael, Peter, Mary, Tori",choice_b
59,LP,"Seven dancers—Mary, Noel, Ophelia, Peter, Rafael, Sue, and Tori—are preparing to perform a new dance in which the dancers form a straight line facing towards the first and tallest dancer. Each dancer, other than the first, must stand immediately behind a dancer taller than him or herself. No two dancers are of the same height. Every dancer must perform in the dance and no other dancers will participate. The heights of the dancers and their positions conform to the following restrictions: 3. Which one of the following must be false? (A) (B) (C) (D) (E) Peter dances second and Noel dances sixth. Tori dances fourth and Ophelia dances sixth. Mary dances first and Peter dances seventh. Ophelia dances third and Sue dances fourth. Rafael dances sixth and Noel dances seventh. 4. If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance? Mary is taller than both Peter and Rafael. Noel is shorter than both Ophelia and Sue. Rafael is taller than Noel but shorter than Tori. If Mary dances next to Tori, then Ophelia dances immediately in front of Sue. If Tori does not dance next to Mary, Ophelia dances immediately in front of Noel.","If Rafael dances sixth, which one of the following must be true?",Sue dances someplace behind Noel.,Peter dances immediately behind or immediately in front of Ophelia.,Mary dances either first or second in the line.,Tori dances someplace before Peter.,Ophelia does not dance immediately in front of or immediately behind Sue.,choice_d
60,LP,"Seven dancers—Mary, Noel, Ophelia, Peter, Rafael, Sue, and Tori—are preparing to perform a new dance in which the dancers form a straight line facing towards the first and tallest dancer. Each dancer, other than the first, must stand immediately behind a dancer taller than him or herself. No two dancers are of the same height. Every dancer must perform in the dance and no other dancers will participate. The heights of the dancers and their positions conform to the following restrictions: 3. Which one of the following must be false? (A) (B) (C) (D) (E) Peter dances second and Noel dances sixth. Tori dances fourth and Ophelia dances sixth. Mary dances first and Peter dances seventh. Ophelia dances third and Sue dances fourth. Rafael dances sixth and Noel dances seventh. 4. If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance? Mary is taller than both Peter and Rafael. Noel is shorter than both Ophelia and Sue. Rafael is taller than Noel but shorter than Tori. If Mary dances next to Tori, then Ophelia dances immediately in front of Sue. If Tori does not dance next to Mary, Ophelia dances immediately in front of Noel.",Which one of the following must be false?,Peter dances second and Noel dances sixth.,Tori dances fourth and Ophelia dances sixth.,Mary dances first and Peter dances seventh.,Ophelia dances third and Sue dances fourth.,Rafael dances sixth and Noel dances seventh.,choice_a
61,LP,"Seven dancers—Mary, Noel, Ophelia, Peter, Rafael, Sue, and Tori—are preparing to perform a new dance in which the dancers form a straight line facing towards the first and tallest dancer. Each dancer, other than the first, must stand immediately behind a dancer taller than him or herself. No two dancers are of the same height. Every dancer must perform in the dance and no other dancers will participate. The heights of the dancers and their positions conform to the following restrictions: 3. Which one of the following must be false? (A) (B) (C) (D) (E) Peter dances second and Noel dances sixth. Tori dances fourth and Ophelia dances sixth. Mary dances first and Peter dances seventh. Ophelia dances third and Sue dances fourth. Rafael dances sixth and Noel dances seventh. 4. If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance? Mary is taller than both Peter and Rafael. Noel is shorter than both Ophelia and Sue. Rafael is taller than Noel but shorter than Tori. If Mary dances next to Tori, then Ophelia dances immediately in front of Sue. If Tori does not dance next to Mary, Ophelia dances immediately in front of Noel.","If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance?","third, fourth","fifth, sixth","third, fifth, sixth, seventh","fourth, fifth, sixth","third, foruth, fifth, sixth",choice_e
62,LP,"Seven dancers—Mary, Noel, Ophelia, Peter, Rafael, Sue, and Tori—are preparing to perform a new dance in which the dancers form a straight line facing towards the first and tallest dancer. Each dancer, other than the first, must stand immediately behind a dancer taller than him or herself. No two dancers are of the same height. Every dancer must perform in the dance and no other dancers will participate. The heights of the dancers and their positions conform to the following restrictions: 3. Which one of the following must be false? (A) (B) (C) (D) (E) Peter dances second and Noel dances sixth. Tori dances fourth and Ophelia dances sixth. Mary dances first and Peter dances seventh. Ophelia dances third and Sue dances fourth. Rafael dances sixth and Noel dances seventh. 4. If Tori dances second, which one of the following is a complete and accurate list of all the positions in which Rafael could dance? Mary is taller than both Peter and Rafael. Noel is shorter than both Ophelia and Sue. Rafael is taller than Noel but shorter than Tori. If Mary dances next to Tori, then Ophelia dances immediately in front of Sue. If Tori does not dance next to Mary, Ophelia dances immediately in front of Noel.","If the condition that Noel is shorter than Ophelia and Sue is replaced with the condition that Noel is taller than both Ophelia and Sue, and all the other conditions remain the same, which of the following could be true?",Peter dances sixth,Tori dances fourth and Ophelia dances sixth.,Mary dances third,Rafael dances third,Peter dances second,choice_d
63,LP,"Exactly five parks—Jasper Park, Kip Park, Laurel Park, Mountain Park, and North Park—are part of the Hillside Recreation Complex. A series of bike trails runs through the recreation complex such that each park is directly connected by a bike trail to at least one other park. The parks are not directly connected in any other way. The following must apply: North Park is directly connected to more parks than is Kip Park. Jasper Park is not directly connected with Mountain Park. North Park is directly connected to fewer parks than is Mountain Park.",Which one of the following must be true?,Mountain Park is directly connected to more parks than is Kip Park.,Laurel Park is directly connected to more parks than is Kip Park.,Kip Park is directly connected to more parks than is Jasper Park.,Jasper Park is directly connected to more parks than is Laurel Park.,North Park is directly connected to more parks than is Jasper Park.,choice_a
64,LP,"Exactly five parks—Jasper Park, Kip Park, Laurel Park, Mountain Park, and North Park—are part of the Hillside Recreation Complex. A series of bike trails runs through the recreation complex such that each park is directly connected by a bike trail to at least one other park. The parks are not directly connected in any other way. The following must apply: North Park is directly connected to more parks than is Kip Park. Jasper Park is not directly connected with Mountain Park. North Park is directly connected to fewer parks than is Mountain Park.",Which one of the following represents a complete and accurate list of parks to which North Park could be directly connected?,"Jasper Park, Kip Park, Laurel Park, Mountain Park","Jasper Park, Kip Park, Mountain Park","Jasper Park, Laurel Park, Mountain Park","Laurel Park, Mountain Park","Kip Park, Laurel Park",choice_c
65,LP,"Exactly five parks—Jasper Park, Kip Park, Laurel Park, Mountain Park, and North Park—are part of the Hillside Recreation Complex. A series of bike trails runs through the recreation complex such that each park is directly connected by a bike trail to at least one other park. The parks are not directly connected in any other way. The following must apply: North Park is directly connected to more parks than is Kip Park. Jasper Park is not directly connected with Mountain Park. North Park is directly connected to fewer parks than is Mountain Park.","If North Park is directly connected to Jasper Park, which one of the following must be true?",Laurel Park is directly connected to at most two parks.,Laurel Park is directly connected to exactly one park.,Jasper Park is directly connected to exactly two parks.,Mountain Park is directly connected to at most two parks.,Mountain Park is directly connected to exactly two parks.,choice_a
66,LP,"Exactly five parks—Jasper Park, Kip Park, Laurel Park, Mountain Park, and North Park—are part of the Hillside Recreation Complex. A series of bike trails runs through the recreation complex such that each park is directly connected by a bike trail to at least one other park. The parks are not directly connected in any other way. The following must apply: North Park is directly connected to more parks than is Kip Park. Jasper Park is not directly connected with Mountain Park. North Park is directly connected to fewer parks than is Mountain Park.",Each of the following could be true EXCEPT:,North Park is directly connected to exactly two parks and Laurel Park is directly connected to exactly three parks. ,North Park is directly connected to exactly two parks and Jasper Park is directly connected to exactly two parks.,Jasper Park is directly connected to exactly two parks and Laurel Park is directly connected to exactly three parks.,Laurel Park is directly connected to exactly two parks and Kip Park is directly connected to exactly one park.,Jasper Park is directly connected to exactly two parks and Mountain Park is directly connected to exactly three parks.,choice_c
67,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.","Which one of the following is an acceptable matching of candidates with managers, listed from the first interview to the last?",Sarah: Gilly; Sarah: Inga; Todd: Jade; Rob: Kelsey; Rob: Felix; Todd: Harry,Sarah: Jade; Todd: Inga; Rob: Kelsey; Sarah: Gilly; Rob: Felix; Todd: Harry,Sarah: Jade; Todd: Inga; Rob: Kelsey; Rob: Felix; Todd: Harry; Sarah: Gilly,Sarah: Inga; Sarah: Felix; Todd: Harry; Rob: Kelsey; Sarah: Gilly; Todd: Jade,Todd: Kelsey; Sarah: Inga; Todd: Kelsey; Sarah: Jade; Rob: Felix; Todd: Harry ,choice_b
68,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.","If Todd interviews a candidate in the third time slot, each of the following must be true EXCEPT:",Sarah interviews Inga.,Jade is interviewed after both Kelsey and Inga.,Gilly is interviewed immediately before Jade.,Rob interviews one candidate only.,Todd interviews Kelsey.,choice_c
69,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.",Which one of the following represents the latest time slot in which Kelsey can be interviewed?,second,third,fourth,fifth,sixth,choice_e
70,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.",Which one of the following is a complete and accurate list of the time slots in which Felix can be interviewed?,"first, third, fourth","third, fifth","third, fourth","fourth, fifth, sixth",fifth,choice_b
71,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.","If Todd conducts the first interview, for how many of the time slots can both the candidate and the manager be determined?",2,3,4,5,6,choice_c
72,LP,"Each of six job candidates—Felix, Gilly, Harry, Inga, Jade and Kelsey—must be interviewed by one of three managers—Rob, Sarah and Todd—in consecutive time slots. No two candidates will be interviewed at the same time and no interview involves more than one manager. Each manager must interview at least one candidate. The interviews must be scheduled in accordance with the following conditions: After Sarah’s second (and final) interview, Rob must interview exactly one candidate. Rob interviews neither Jade nor Inga, but must interview Felix. Todd does not interview Jade. Rob interviews neither the first nor the last candidate. Inga is interviewed second. No manager may interview consecutive candidates. Harry is interviewed immediately after Felix.",Which one of the following assignments effectively determines every candidate and manager’s schedule?,Kelsey being interviewed fifth.,Todd interviewing first.,Gilly being interviewed third.,Harry being interviewed last.,Sarah interviewing fourth.,choice_a
73,LP,"An accountant assigns double-digit codes to four different clients—Frank, Gardner, Hunt and Jordan. The codes are made using the digits 1 through 8, and the accountant uses each digit only once. The following conditions must apply: The code with a six in the tens place has a three in the units place. Hunt’s code has a higher numeric value than Jordan’s code does. Frank’s code has the highest numeric value. Jordan’s code ends with a two. Three of the four codes are even.",Which one of the following could be an accurate account of the codes assigned to the four clients?,Frank: 74; Gardner: 52; Hunt: 63; Jordan: 18,Frank: 74; Gardner: 53; Hunt: 68; Jordan: 12,Frank: 74; Gardner: 12; Hunt: 58; Jordan: 63,Frank: 74; Gardner: 58; Hunt: 63; Jordan: 12,Frank: 85; Gardner: 74; Hunt: 63; Jordan: 12,choice_d
74,LP,"An accountant assigns double-digit codes to four different clients—Frank, Gardner, Hunt and Jordan. The codes are made using the digits 1 through 8, and the accountant uses each digit only once. The following conditions must apply: The code with a six in the tens place has a three in the units place. Hunt’s code has a higher numeric value than Jordan’s code does. Frank’s code has the highest numeric value. Jordan’s code ends with a two. Three of the four codes are even.",Which one of the following could be true?,Gardner’s code begins with a 4.,Hunt’s code begins with an 8.,Hunt’s code begins with a 1.,Gardner’s code ends with a 1.,Gardner’s code ends with a 4.,choice_e
75,LP,"An accountant assigns double-digit codes to four different clients—Frank, Gardner, Hunt and Jordan. The codes are made using the digits 1 through 8, and the accountant uses each digit only once. The following conditions must apply: The code with a six in the tens place has a three in the units place. Hunt’s code has a higher numeric value than Jordan’s code does. Frank’s code has the highest numeric value. Jordan’s code ends with a two. Three of the four codes are even.","If Gardner’s code has a lower numeric value than Jordan’s code, which one of the following must be false?",Gardner’s code ends with a 4.,Gardner’s code ends with a 3.,Gardner’s code ends with an 8.,Frank’s code ends with a 4.,Frank’s code ends with an 8.,choice_b
76,LP,"An accountant assigns double-digit codes to four different clients—Frank, Gardner, Hunt and Jordan. The codes are made using the digits 1 through 8, and the accountant uses each digit only once. The following conditions must apply: The code with a six in the tens place has a three in the units place. Hunt’s code has a higher numeric value than Jordan’s code does. Frank’s code has the highest numeric value. Jordan’s code ends with a two. Three of the four codes are even.","If Gardner’s code has a higher numeric value than Jordan’s code, and if Gardner’s code is even, each of the following must be true EXCEPT:",Hunt’s code has a higher numeric value than Gardner’s code.,Jordan’s code is comprised of the two lowest valued digits.,Frank’s code has a higher numeric value than Gardner’s code.,The units digit for Frank’s code is higher than the units digit for Hunt’s code.,The units digit for Frank’s code is higher than the units digit for Gardner’s code.,choice_e
77,LP,"An accountant assigns double-digit codes to four different clients—Frank, Gardner, Hunt and Jordan. The codes are made using the digits 1 through 8, and the accountant uses each digit only once. The following conditions must apply: The code with a six in the tens place has a three in the units place. Hunt’s code has a higher numeric value than Jordan’s code does. Frank’s code has the highest numeric value. Jordan’s code ends with a two. Three of the four codes are even.","If the accountant assigns the Hunt account the code 54, which one of the following represents a complete and accurate list of other account codes that can be determined?",Frank,Gardner,Jordan,"Frank, Jordan","Frank, Gardner, Jordan",choice_e
78,LP,"A film club will present exactly one feature film each week for exactly eight consecutive weeks, 1 through 8. Each week, the feature film presented will be one of exactly five films: Landing, Milner, Octagon, Prestige, or Quibble. Each film is presented at least once. The following conditions apply: Octagon is not presented until sometime after the second presentation of Quibble. Prestige is presented in any week immediately subsequent to a week in which Landing is presented. Milner is presented in week 5. Octagon is presented exactly twice.","Which one of the following is an acceptable schedule of f ilm presentations, in order from week 1 to week 8?","Quibble, Prestige, Quibble, Octagon, Milner, Landing, Prestige, Octagon ","Milner, Landing, Prestige, Quibble, Milner, Quibble, Octagon, Milner","Quibble, Quibble, Octagon, Octagon, Milner, Landing, Prestige, Landing","Landing, Prestige, Quibble, Milner, Quibble, Octagon, Milner, Octagon","Milner, Quibble, Landing, Prestige, Milner, Octagon, Milner, Octagon",choice_a
79,LP,"A film club will present exactly one feature film each week for exactly eight consecutive weeks, 1 through 8. Each week, the feature film presented will be one of exactly five films: Landing, Milner, Octagon, Prestige, or Quibble. Each film is presented at least once. The following conditions apply: Octagon is not presented until sometime after the second presentation of Quibble. Prestige is presented in any week immediately subsequent to a week in which Landing is presented. Milner is presented in week 5. Octagon is presented exactly twice.","If Prestige is presented in week 2 and in week 4, which one of the following is a complete and accurate list of f ilms that could be presented in week 3?",Landing,"Landing, Quibble","Quibble, Milner","Landing, Quibble, Milner","Landing, Quibble, Milner, Octagon",choice_b
80,LP,"A film club will present exactly one feature film each week for exactly eight consecutive weeks, 1 through 8. Each week, the feature film presented will be one of exactly five films: Landing, Milner, Octagon, Prestige, or Quibble. Each film is presented at least once. The following conditions apply: Octagon is not presented until sometime after the second presentation of Quibble. Prestige is presented in any week immediately subsequent to a week in which Landing is presented. Milner is presented in week 5. Octagon is presented exactly twice.",Which one of the following must be true?,Milner is presented exactly once.,Quibble is presented exactly twice.,Milner is presented exactly twice.,Prestige is presented exactly twice.,Landing is presented exactly once.,choice_e
